STUDENT ID,age,sex,High school,Scholarship,Regular activity,Sports,partner,Transportation ,Accommodation ,weekly study hour, Reading frequency (non-scientific books/journals):,Reading frequency (scientific books/journals),mpact of your projects/activities on your success,Listening in classes,Discussion improves my interest and success in the course:,Cumulative grade point average in the last semeste,Expected Cumulative grade point average in the graduation ,COURSE ID,GRADE
STUDENT1,2,2,3,3,1,2,2,1,1,1,1,2,3,1,2,5,3,2,2
STUDENT2,2,2,3,3,1,2,2,1,1,1,2,3,2,1,2,1,2,2,2
STUDENT3,2,2,2,3,2,2,2,2,4,2,2,2,2,1,2,1,2,1,2
STUDENT4,1,1,1,3,1,2,1,2,1,2,1,2,5,1,2,1,3,1,2
STUDENT5,2,2,1,3,2,2,1,3,1,4,3,3,2,1,2,4,2,1,1
STUDENT6,2,2,2,3,2,2,2,2,1,1,3,3,2,1,2,3,1,1,2
STUDENT7,1,2,2,4,2,2,2,1,1,3,1,3,1,1,2,4,2,2,2
STUDENT8,1,1,2,3,1,1,1,2,2,3,4,3,1,1,4,3,1,2,2
STUDENT9,2,1,3,3,2,1,1,1,1,3,2,4,2,1,2,4,1,2,2
STUDENT10,2,1,2,3,2,2,1,3,4,2,1,2,3,1,2,3,2,2,2
STUDENT11,1,1,1,3,2,2,2,3,2,3,3,4,2,1,3,2,1,1,1
STUDENT12,1,1,1,4,1,1,2,4,2,3,5,5,1,1,3,2,3,3,3
STUDENT13,1,1,1,4,2,2,2,1,1,1,3,5,4,2,2,2,3,2,2
STUDENT14,2,1,2,5,2,2,2,1,1,1,2,2,2,1,2,3,1,2,1
STUDENT15,3,2,2,4,1,1,2,3,4,2,3,1,2,1,4,1,2,2,2
STUDENT16,2,2,2,3,2,2,2,1,1,2,4,4,2,1,3,1,2,2,2
STUDENT17,1,1,2,5,2,1,2,1,1,1,2,2,4,1,2,3,2,2,2
STUDENT18,2,2,2,3,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2
STUDENT19,1,1,2,4,2,2,2,3,1,1,2,2,5,1,2,5,5,3,2
STUDENT20,1,2,1,3,2,2,1,2,2,2,3,3,3,1,2,4,4,2,2
STUDENT21,1,2,2,5,1,2,1,1,4,2,3,3,3,2,2,3,4,2,2
STUDENT22,1,2,2,5,2,2,1,1,4,2,2,2,4,1,2,3,3,2,2
STUDENT23,2,2,2,3,1,2,1,1,1,1,1,1,4,2,2,4,3,3,3
STUDENT24,3,2,2,2,1,1,2,5,1,1,1,4,3,1,2,1,3,2,3
STUDENT25,2,2,2,3,2,2,2,2,1,1,3,1,3,1,2,4,1,2,2
STUDENT26,2,2,2,3,2,2,1,1,1,2,1,4,3,1,2,4,2,2,2
STUDENT27,2,2,2,3,2,1,1,1,1,1,4,4,4,1,2,4,2,3,2
STUDENT28,1,2,1,3,1,2,2,1,1,1,1,1,4,1,2,3,3,2,2
STUDENT29,3,2,2,3,2,2,1,1,4,2,2,2,4,1,2,1,2,2,2
STUDENT30,2,2,3,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2
STUDENT31,2,2,2,5,1,1,1,1,1,2,1,1,5,1,2,4,2,2,2
STUDENT32,3,2,2,3,1,2,2,1,1,2,1,2,4,1,2,3,2,2,3
STUDENT33,2,1,2,3,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2
STUDENT34,2,1,2,3,1,2,1,1,1,1,1,2,5,1,2,3,2,1,2
STUDENT35,1,2,1,3,2,2,1,2,1,1,3,3,3,1,2,4,2,1,1
STUDENT36,1,2,1,4,2,2,2,3,1,1,1,2,5,1,2,3,2,2,2
STUDENT37,2,2,3,4,1,2,1,3,1,1,1,1,2,2,4,3,1,1,3
STUDENT38,2,2,2,3,1,1,1,2,2,3,3,3,1,1,2,3,2,2,2
STUDENT39,2,2,2,5,2,2,2,1,1,1,3,3,1,1,2,4,3,2,2
STUDENT40,2,1,2,3,2,2,1,1,1,2,1,3,1,1,2,4,1,2,1
STUDENT41,1,2,1,3,2,2,2,2,1,1,2,3,1,1,2,5,1,2,2
STUDENT42,3,2,2,3,1,2,2,2,1,2,1,4,2,1,2,2,3,2,2
STUDENT43,2,2,2,3,2,1,2,1,4,2,4,4,2,1,3,1,2,2,1
STUDENT44,1,2,2,3,2,2,1,1,1,1,2,3,3,1,2,1,2,2,2
STUDENT45,2,2,3,3,2,2,1,1,1,1,1,3,2,1,2,5,2,2,2
STUDENT46,1,2,2,3,2,2,1,4,1,1,2,3,5,1,2,4,3,2,2
STUDENT47,2,2,2,3,2,2,1,1,1,1,1,2,3,1,2,5,2,2,2
STUDENT48,2,2,2,3,2,2,1,1,1,2,4,3,1,1,5,4,2,2,2
STUDENT49,1,2,2,3,2,1,1,1,1,2,3,3,3,1,2,2,1,1,2
STUDENT50,1,2,1,4,2,2,2,2,4,1,2,3,2,1,2,4,2,2,2
STUDENT51,2,2,2,3,2,2,1,2,2,1,1,1,2,1,2,3,2,2,2
STUDENT52,2,1,3,3,1,1,2,1,1,1,1,2,5,1,2,1,1,2,2
STUDENT53,2,1,2,3,1,2,2,2,1,1,1,3,4,1,2,1,3,1,1
STUDENT54,2,1,2,3,2,1,2,2,1,1,1,1,5,1,2,1,1,2,2
STUDENT55,2,2,2,3,2,2,2,3,4,2,1,4,2,1,4,2,2,1,1
STUDENT56,3,2,2,3,1,2,1,4,1,2,1,1,5,3,2,1,1,2,2
STUDENT57,2,2,2,3,2,1,2,1,1,1,1,3,5,1,2,4,4,2,3
STUDENT58,2,2,2,3,1,1,2,1,1,1,4,2,3,1,3,3,2,3,2
STUDENT59,3,2,2,3,2,2,1,3,1,1,1,3,5,2,2,1,3,2,2
STUDENT60,2,2,2,3,2,1,1,1,1,1,4,4,3,1,2,3,3,2,2
STUDENT61,2,1,2,3,2,2,2,5,2,1,6,1,3,1,2,3,1,2,2
STUDENT62,1,2,3,3,2,1,2,2,1,2,1,3,4,1,2,3,3,1,2
STUDENT63,2,2,2,3,2,2,2,1,4,2,2,3,2,1,2,4,3,2,2
STUDENT64,2,2,2,4,2,2,1,2,1,1,1,3,3,1,2,1,1,1,2
STUDENT65,2,2,3,5,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2
STUDENT66,1,2,2,3,2,2,1,3,1,1,2,4,3,1,2,4,1,1,2
STUDENT67,2,2,2,3,2,2,1,1,1,1,3,2,5,1,2,5,2,2,2
STUDENT68,2,2,3,3,1,1,2,3,1,2,3,4,4,2,2,2,2,2,2
STUDENT69,2,1,2,4,1,2,2,1,1,1,2,3,5,3,2,5,1,2,2
STUDENT70,2,1,2,4,2,2,1,1,1,1,2,2,2,1,2,3,1,1,2
STUDENT71,1,2,2,4,2,1,1,1,1,1,4,3,1,2,4,2,2,2,2
STUDENT72,1,1,3,4,2,2,2,1,1,3,1,3,5,1,2,4,2,2,1
STUDENT73,1,2,2,3,2,1,1,1,1,2,1,1,2,1,2,3,2,3,3
STUDENT74,2,2,2,4,2,2,2,1,1,2,1,3,4,1,2,4,3,1,1
STUDENT75,1,2,2,4,2,2,2,1,1,1,2,2,3,1,2,1,2,2,2
STUDENT76,1,2,2,4,2,1,2,1,1,3,1,5,4,1,2,2,3,3,1
STUDENT77,2,2,1,2,2,1,2,2,1,1,5,4,3,1,4,3,2,3,2
STUDENT78,1,2,1,2,2,2,1,2,2,2,6,5,2,1,4,2,2,2,2
STUDENT79,2,1,2,4,1,1,2,1,1,1,1,3,4,1,2,4,2,3,3
STUDENT80,2,2,2,4,2,2,2,1,1,1,1,3,4,1,2,4,1,2,2
STUDENT81,2,1,2,3,1,2,1,1,2,1,1,1,2,1,2,3,1,1,1
STUDENT82,3,2,2,3,1,2,2,1,1,2,1,2,4,1,2,3,2,2,2
STUDENT83,2,2,2,4,1,2,1,2,1,1,3,1,3,1,2,3,2,2,3
STUDENT84,2,2,3,3,2,2,2,3,1,1,4,4,2,1,1,2,1,2,2
STUDENT85,3,2,3,3,1,2,1,3,1,2,4,2,5,3,2,1,1,2,2
STUDENT86,1,2,2,5,2,2,2,2,1,1,1,1,5,1,2,1,1,1,1
STUDENT87,2,2,2,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2
STUDENT88,2,2,2,3,2,1,2,2,1,1,3,4,2,1,1,1,2,2,2
STUDENT89,1,2,2,4,2,1,1,1,1,1,4,4,1,1,3,2,2,2,2
STUDENT90,2,2,2,3,2,2,2,1,1,1,3,5,3,1,2,2,2,2,2
STUDENT91,2,1,2,3,2,1,1,1,2,3,3,3,1,1,4,2,2,2,2
STUDENT92,2,2,2,5,1,1,1,1,1,2,4,1,5,1,2,3,2,2,2
STUDENT93,1,2,2,3,2,2,2,1,1,1,3,4,4,1,3,2,3,2,2
STUDENT94,1,2,2,1,1,2,1,1,1,2,1,2,4,1,2,3,5,2,1
STUDENT95,2,2,2,3,2,2,1,1,1,1,3,2,5,1,2,5,2,2,3
STUDENT96,1,2,3,5,1,1,1,1,2,3,3,4,1,1,2,1,2,2,3
STUDENT97,1,2,2,4,2,1,1,1,2,3,2,2,3,1,4,2,2,3,2
STUDENT98,1,2,2,4,1,2,2,1,1,3,3,3,4,1,2,3,2,2,2
STUDENT99,1,2,2,4,2,1,2,1,4,2,2,4,2,1,2,5,2,3,2
STUDENT100,2,2,2,3,2,2,2,1,4,2,3,4,2,1,2,1,3,2,2
STUDENT101,1,2,2,4,2,2,2,1,2,3,4,1,2,1,3,3,2,2,2
STUDENT102,1,2,2,4,2,2,1,2,1,3,2,3,1,1,2,4,2,2,2
STUDENT103,1,2,2,3,2,2,1,1,1,2,3,1,1,2,4,4,2,2,2
STUDENT104,1,2,1,4,2,2,1,5,1,2,1,3,4,1,2,1,2,3,2
STUDENT105,1,1,2,3,2,2,2,1,2,2,4,4,1,1,3,2,2,2,2
STUDENT106,1,2,2,4,1,1,2,1,1,1,2,2,4,1,2,4,2,3,2
STUDENT107,1,2,2,4,2,1,2,1,1,2,2,2,1,1,2,1,3,2,2
STUDENT108,1,1,2,4,1,1,2,1,1,3,1,3,5,1,2,4,2,2,2
STUDENT109,2,1,1,5,2,1,2,2,2,1,1,2,1,3,1,5,3,3,2
STUDENT110,1,2,1,3,2,1,1,1,2,2,4,4,2,3,2,5,3,2,2
STUDENT111,2,2,2,3,2,2,2,2,4,2,4,4,2,2,1,5,2,2,2
STUDENT112,1,1,1,5,2,1,2,1,1,2,3,3,1,1,3,2,1,2,2
STUDENT113,2,1,3,3,1,2,2,1,3,3,1,1,2,1,2,1,1,1,1
STUDENT114,2,1,3,3,2,2,2,1,4,2,4,4,1,1,3,2,2,2,3
STUDENT115,2,1,2,5,1,1,2,4,1,1,1,1,1,1,2,1,2,2,2
STUDENT116,2,1,2,5,1,2,1,1,1,1,1,1,2,1,2,2,3,3,2
STUDENT117,2,1,2,5,2,2,2,1,1,1,1,1,5,1,2,4,3,3,3
STUDENT118,3,1,1,3,2,1,2,1,1,2,4,4,1,1,1,3,2,2,3
STUDENT119,1,2,2,5,2,1,1,1,4,2,1,2,3,1,4,4,1,2,2
STUDENT120,2,1,2,4,2,1,2,1,1,2,3,3,2,3,2,5,5,2,2
STUDENT121,2,1,1,3,1,1,1,2,2,3,3,3,2,1,3,4,1,1,1
STUDENT122,2,1,2,3,1,1,1,1,2,1,1,1,5,3,2,4,5,3,3
STUDENT123,1,2,2,5,2,1,2,1,1,1,3,3,2,1,2,1,2,1,2
STUDENT124,2,1,3,3,2,2,2,3,1,1,3,2,4,1,1,1,2,2,3
STUDENT125,1,1,2,4,1,1,1,1,1,3,2,3,2,1,4,3,4,2,2
STUDENT126,1,1,2,5,1,1,2,1,1,3,1,1,5,1,2,3,3,2,3
STUDENT127,1,1,1,4,1,1,1,3,2,3,4,6,2,1,4,3,4,2,3
STUDENT128,1,1,2,4,2,2,2,1,4,3,3,2,2,1,3,4,2,1,1
STUDENT129,1,1,2,4,2,1,1,1,4,3,3,4,2,1,4,2,2,1,1
STUDENT130,1,1,2,3,1,1,2,1,1,1,1,1,3,1,2,4,4,2,3
STUDENT131,1,1,2,3,1,1,2,1,1,1,1,2,3,1,2,4,4,2,2
STUDENT132,1,1,1,5,2,1,2,1,2,2,4,3,1,1,3,2,4,1,3
STUDENT133,1,1,1,5,2,1,2,1,1,2,1,2,3,1,2,1,2,2,3
STUDENT134,1,1,2,5,2,2,1,1,1,1,1,1,1,1,2,3,3,1,2
STUDENT135,1,1,2,4,2,1,2,1,2,3,1,1,2,1,4,3,2,2,2
STUDENT136,2,1,2,3,1,1,2,1,4,2,3,3,1,1,2,1,2,3,2
STUDENT137,1,1,2,3,1,1,1,1,2,3,3,3,3,1,3,4,2,2,2
STUDENT138,1,1,1,5,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2
STUDENT139,1,1,2,4,1,1,1,5,2,3,3,1,1,2,4,5,2,2,3
STUDENT140,1,1,2,4,1,2,1,2,2,3,3,3,1,1,5,4,1,1,2
STUDENT141,2,1,2,3,1,1,2,1,1,2,1,2,2,2,2,4,3,3,2
STUDENT142,1,1,2,4,2,2,2,1,4,2,1,1,5,1,2,1,3,2,2
STUDENT143,1,1,1,4,2,2,2,1,1,1,3,4,4,1,2,4,2,2,2
STUDENT144,2,1,2,4,1,1,1,5,2,3,4,4,1,1,3,3,2,2,1
STUDENT145,1,1,1,5,2,2,2,3,1,1,3,1,5,1,2,4,3,1,1
